team,PTS Avg.,FGM Avg.,FGA Avg.,FG% Avg.,3PM Avg.,3PA Avg.,3P% Avg.,FTM Avg.,FTA Avg.,FT% Avg.,OREB Avg.,DREB Avg.,REB Avg.,AST Avg.,STL Avg.,BLK Avg.,TOV Avg.,PF Avg.,+/- Avg.,Opp. PTS Avg.,Opp. FGM Avg.,Opp. FGA Avg.,Opp. FG% Avg.,Opp. 3PM Avg.,Opp. 3PA Avg.,Opp. 3P% Avg.,Opp. FTM Avg.,Opp. FTA Avg.,Opp. FT% Avg.,Opp. OREB Avg.,Opp. DREB Avg.,Opp. REB Avg.,Opp. AST Avg.,Opp. STL Avg.,Opp. BLK Avg.,Opp. TOV Avg.,Opp. PF Avg.,Opp. +/- Avg.
OKC,32336.312062260673,-231109.2739140692,-197692.0015599701,-213973.48612491967,46613.09863787782,-370182.4249126512,15392.00843642251,447941.79293523973,-590675.0253433274,142624.88966668193,394492.4565219838,-255130.71098768007,139360.94563473214,317760.8575832436,131940.4673284396,-556173.1655522261,-481363.4711785609,334115.8702628613,-32523.843006037187,97438.12191045597,-80369.23823557516,516538.075682204,-498958.2344439911,349301.71974977065,144460.9614311113,-144785.87057060056,-91123.75971968945,-11621.134152547378,107783.1611723513,-200941.26021773284,-13017.260171146108,-213958.63099198614,-145217.59726057661,-142744.96860349932,548200.5068213465,23101.056327334463,284796.8861836794,-241564.72217758885
ORL,291816.4391338989,-232900.9479131584,-756529.0041092249,-300385.1187606305,126759.87136513121,-54827.38644429826,-104097.75203677245,630858.49528293,-396184.59839441336,3162.6958029163275,246724.23989728792,-25133.673045075626,221589.76696486512,-2989.516480303623,980339.5488417947,-98226.79057244635,12702.90187631862,386607.9944997202,-48616.81062921437,159678.99428320982,-64294.0216403298,529616.1845955336,-731404.940779505,306454.66461005475,-293183.38886371674,201733.93143177556,-18186.265437812646,-286457.55611845804,212655.1016423585,-993917.543336973,665673.7753319843,-328243.87859078805,-111072.64331924773,-216977.4670036452,-281718.52233902604,100666.17435228113,194769.82639474102,-365447.9739733285
PHI,81482.56340930535,-184926.83303947683,-681710.5111104421,109021.31712485396,-130634.56796596428,-466117.009280346,-1901.920894822001,581970.8291373895,-556965.2972561176,-46131.5571752339,467532.92934642016,-18679.076103408417,448853.05337112123,202120.4523970545,773649.3996358279,-363374.12479830696,-239408.7930507431,336982.6184418254,-104355.1129451187,98881.05435603461,40369.583531213975,508558.8137994857,-302876.95983656455,200166.34268544152,-202695.17163769336,236590.48703208016,-182023.09380347354,45795.39935539481,42318.03728080278,-228812.6137770905,655.4577499524644,-228157.2666542966,139678.31927032326,-232031.9639578023,229896.56351458174,-264188.05509560194,-73004.81579209706,-274972.0816072341
PHX,14507.837608838863,-92193.23736845913,-554747.5557519612,376995.7496715179,19973.33025619221,-278171.4555797993,-56515.91424981768,178921.01380065733,-882125.1379190037,-44840.21249895602,487283.87950675393,-346843.255321352,140439.82439219212,170011.32380282672,634388.9223289903,-251607.61895177845,-193392.8967075144,653187.8323003141,-167619.78255213698,-102897.5276773074,-71975.78547185364,94188.25299876685,-160513.33805188737,251041.21661867225,323428.167677266,-272145.8035578835,-209985.81173862147,-382448.3249427073,113357.85797850887,-393038.0566386281,758594.3417606961,365556.1745556899,-30464.749788896315,92394.5257964768,-281474.19859018154,743709.5023470894,824658.2030795126,-386769.43398764555
POR,424238.66288940626,32712.00706470019,-499063.9140587769,-154932.53127713664,35936.62568227824,-380526.3849274865,-33807.85387303695,322878.0547350553,-771162.0384863742,-170451.97932673426,89981.57037200482,-3416.0128325000933,86564.75765567711,144253.08514016544,760294.9341880922,-256919.93683239043,-172129.73503494842,295559.3105445983,-173497.8986042616,378085.35575369454,107545.48140835812,693521.3317549941,-667733.4806803527,248415.86305670533,-461285.7550259669,29665.440620439025,-85420.10850651724,-64304.8019637031,-288353.89114108135,-724372.7090897472,491246.13178305235,-233126.68794036197,-900800.382110355,-446869.8934618899,-569484.9685951456,147720.6473477586,455217.26050552103,-306539.23152808537
SAC,273153.8609826889,-148073.4665913999,-747030.9779334397,363834.47788851266,25695.675478199904,-468331.1191511054,-34559.890695323564,543605.1503591867,-467005.2291543003,-189134.88108887395,580949.9163925416,-103124.07009035915,477825.0464481657,514431.0070471248,452788.97986046737,-499045.76530435256,-402326.10830062156,-580044.5766553123,-39452.028649461194,-67564.52581034042,-15139.04364702625,286498.14490837586,-68875.98497634692,-101066.23765805303,-468955.16457120824,35370.457083484325,63781.1607484419,39372.20228642905,68876.22592749776,-226254.68064092434,464703.97425623954,238449.18299991766,46855.1329481321,-335545.93109437637,-177214.72083198547,100421.18447438967,604744.9841710171,-435899.4820617681
SAS,523341.4994390015,-50509.44754590201,-739804.9408555618,-244140.53562135145,162884.58357281963,-413702.01973286667,-75533.97560200548,461475.8425695042,-454911.8698462192,-59328.88637608746,182538.3069185629,350881.4369679647,533418.9440103058,274466.5019497063,470156.7352784303,-592376.7613121694,-124850.73570809898,-37433.23445847815,9897.574002169678,205689.3213775754,-53718.11566313584,223018.2840223516,-238548.7711748144,111471.21617912549,-111517.46640868913,-176288.79178322374,201655.69812090817,-299098.0232699082,41227.21564065208,-524969.9812764503,93935.6275771908,-431034.46429632633,-643112.3401698517,127005.33189765141,659062.7353966763,197412.60314927803,425388.18370142544,116526.5165145052
TOR,330321.9931819794,-133685.89820423326,-574679.9287974052,-230149.33913899097,107350.55949208644,-257147.41723646357,95271.76943151429,490343.26177352155,-562750.9267723882,-354164.75902886834,365891.46004858636,-38639.11816847258,327251.5419941293,-111146.32370610378,906637.0493768454,-323217.4327494988,-14093.280318317733,507849.25048270234,-189693.57814615587,263387.30004675384,97219.5536776982,651169.14033054,-596877.2595688718,185768.57524857495,-402939.54428063927,-86560.99731753438,-116819.02095522557,-333352.50179461547,67106.91899623061,-1013308.3896312674,648784.1308990137,-364524.3693438756,-273517.36636121804,-141241.68153759922,-201912.56527901292,255905.69966911012,16370.70970451751,-221737.14638991642
UTA,172367.0097742955,-170409.50059382155,-720408.3456075212,-80317.14027080937,222316.58054912247,94235.22238089686,101313.32626037086,290869.4620652285,-830610.2872520463,-29318.80155448218,358155.6956941935,-142298.80005453088,215856.0957703302,9607.564409531331,961814.1010942945,-1067109.1605262891,-685979.5868693477,857640.2784897715,-166117.79045210953,163277.2061902705,-289347.62988540315,481863.3050482618,-851999.1643400707,746357.7693918668,-70483.48837088096,247185.7815187749,-4383.941959407777,-28447.945778670426,132252.88348382871,-244656.758339356,177966.89360694966,-66689.97531372587,75463.15363380995,69098.6117732628,83830.72057777483,-355936.999821097,512145.6835291688,-278631.94936669886
WAS,-2621.3058050884715,-20171.72593856927,323843.1226046807,80069.22607473643,-79012.55989837195,-7545.160319401222,141575.3000373228,116734.73787617913,234950.58572120866,-46376.13092634273,-397086.44852730195,296183.46269353834,-100903.78573847727,419959.52530460566,357162.85390519915,-293966.5253512108,-565545.3284094603,-102275.93535359365,-37871.53481434243,-394533.30264584103,-309680.2319802951,-4720.481131414837,67393.04792160519,193888.63746995438,32341.923391497214,344877.53818378923,30939.88528252762,38387.68055546881,-156464.73932292743,-87639.52245421703,-161304.62262161155,-248944.255832037,384937.93524920684,358270.2307909097,203006.71075802966,-390354.0855199854,756070.2334620474,-247866.99696279838



