TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
DAL,11/17/17,DAL vs. MIN,L,240,87,32,86,.372,8,38,.211,15,17,.882,11,30,41,18,3,3,11,20,-24
CLE,11/17/17,CLE vs. LAC,W,265,118,42,90,.467,11,33,.333,23,29,.793,8,43,51,24,9,4,15,20,5
SAC,11/17/17,SAC vs. POR,W,240,86,36,85,.424,4,14,.286,10,15,.667,12,31,43,20,11,5,13,22,4
SAC,11/18/17,SAC @ POR,L,240,90,34,89,.382,8,17,.471,14,18,.778,9,27,36,14,9,4,11,24,-12
HOU,11/18/17,HOU @ MEM,W,240,105,35,78,.449,18,43,.419,17,21,.810,9,36,45,21,8,9,16,24,22
ATL,11/18/17,ATL vs. BOS,L,240,99,37,78,.474,9,24,.375,16,20,.800,6,29,35,24,7,1,13,19,-11
MEM,11/18/17,MEM vs. HOU,L,240,83,31,86,.360,7,27,.259,14,19,.737,15,33,48,18,6,7,12,18,-22
ORL,11/18/17,ORL vs. UTA,L,240,85,31,81,.383,8,29,.276,15,23,.652,11,35,46,13,10,5,16,20,-40
PHI,11/18/17,PHI vs. GSW,L,240,116,47,97,.485,10,29,.345,12,16,.750,11,29,40,28,8,5,11,22,-8
GSW,11/18/17,GSW @ PHI,W,240,124,50,91,.549,7,23,.304,17,20,.850,11,37,48,25,5,6,12,18,8
POR,11/18/17,POR vs. SAC,W,240,102,38,70,.543,10,21,.476,16,21,.762,5,39,44,19,6,8,17,22,12
BOS,11/18/17,BOS @ ATL,W,240,110,39,82,.476,16,34,.471,16,20,.800,9,32,41,21,9,6,15,22,11
DAL,11/18/17,DAL vs. MIL,W,240,111,38,79,.481,19,38,.500,16,19,.842,7,42,49,27,7,2,16,26,32
CHA,11/18/17,CHA vs. LAC,W,240,102,34,87,.391,11,26,.423,23,29,.793,8,41,49,20,7,9,8,16,15
MIL,11/18/17,MIL @ DAL,L,240,79,28,74,.378,6,25,.240,17,31,.548,8,30,38,13,8,5,12,25,-32
UTA,11/18/17,UTA @ ORL,W,240,125,47,98,.480,14,34,.412,17,18,.944,14,40,54,31,10,4,10,19,40
LAC,11/18/17,LAC @ CHA,L,240,87,33,83,.398,8,29,.276,13,19,.684,7,37,44,18,5,6,14,22,-15
MIN,11/19/17,MIN vs. DET,L,240,97,40,78,.513,5,22,.227,12,18,.667,6,32,38,23,11,4,20,20,-3
DEN,11/19/17,DEN @ LAL,L,240,109,36,84,.429,13,31,.419,24,35,.686,17,30,47,18,8,8,20,15,-18
MIA,11/19/17,MIA vs. IND,L,240,95,35,83,.422,13,37,.351,12,14,.857,10,25,35,21,8,2,14,11,-25
WAS,11/19/17,WAS @ TOR,L,240,91,34,81,.420,11,19,.579,12,21,.571,8,35,43,20,5,3,14,12,-9
IND,11/19/17,IND @ MIA,W,240,120,51,85,.600,11,23,.478,7,8,.875,9,33,42,33,9,7,12,14,25
TOR,11/19/17,TOR vs. WAS,W,240,100,40,90,.444,10,39,.256,10,14,.714,11,37,48,20,8,7,7,19,9
LAL,11/19/17,LAL vs. DEN,W,240,127,53,100,.530,12,32,.375,9,16,.563,13,33,46,36,11,5,15,27,18
GSW,11/19/17,GSW @ BKN,W,240,118,46,90,.511,10,24,.417,16,23,.696,6,51,57,29,8,14,15,27,7
PHX,11/19/17,PHX vs. CHI,W,240,113,45,89,.506,7,27,.259,16,22,.727,9,39,48,32,5,4,12,16,8
BKN,11/19/17,BKN vs. GSW,L,240,111,34,95,.358,16,48,.333,27,39,.692,13,39,52,24,7,2,13,21,-7
CHI,11/19/17,CHI @ PHX,L,240,105,42,101,.416,12,36,.333,9,14,.643,12,35,47,20,5,1,11,21,-8
DET,11/19/17,DET @ MIN,W,240,100,39,83,.470,8,25,.320,14,20,.700,11,26,37,25,10,2,19,21,3
DAL,11/20/17,DAL vs. BOS,L,265,102,39,96,.406,7,33,.212,17,20,.850,8,37,45,18,7,3,11,22,-8
OKC,11/20/17,OKC @ NOP,L,240,107,38,89,.427,11,35,.314,20,26,.769,9,31,40,22,14,2,14,25,-7
WAS,11/20/17,WAS @ MIL,W,240,99,39,74,.527,9,24,.375,12,17,.706,8,38,46,23,4,1,16,18,11
SAC,11/20/17,SAC vs. DEN,L,240,98,41,86,.477,8,20,.400,8,9,.889,5,29,34,18,11,6,12,19,-16
PHI,11/20/17,PHI vs. UTA,W,240,107,44,85,.518,4,15,.267,15,22,.682,9,46,55,20,11,7,19,18,21
IND,11/20/17,IND @ ORL,W,240,105,37,89,.416,8,20,.400,23,29,.793,8,40,48,25,17,4,12,25,8
MEM,11/20/17,MEM vs. POR,L,240,92,33,86,.384,8,30,.267,18,23,.783,5,30,35,23,6,9,8,26,-8
CHA,11/20/17,CHA vs. MIN,W,240,118,42,85,.494,11,26,.423,23,29,.793,11,41,52,22,5,7,17,18,16
ATL,11/20/17,ATL @ SAS,L,240,85,37,85,.435,8,30,.267,3,8,.375,9,29,38,21,7,7,15,15,-11
POR,11/20/17,POR @ MEM,W,240,100,33,83,.398,6,15,.400,28,32,.875,15,45,60,11,1,9,15,23,8
MIN,11/20/17,MIN @ CHA,L,240,102,37,90,.411,6,27,.222,22,26,.846,10,28,38,13,8,6,10,21,-16
