TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
DET,1/10/18,DET @ BKN,W,240,114,48,93,.516,10,21,.476,8,12,.667,11,43,54,24,10,4,13,14,34
NYK,1/10/18,NYK vs. CHI,L,290,119,48,96,.500,10,22,.455,13,21,.619,11,40,51,24,5,9,18,20,-3
GSW,1/10/18,GSW vs. LAC,L,240,106,38,79,.481,8,23,.348,22,26,.846,4,29,33,26,9,6,16,21,-19
ORL,1/10/18,ORL @ MIL,L,240,103,39,90,.433,8,29,.276,17,18,.944,8,26,34,26,6,4,8,21,-7
DAL,1/10/18,DAL @ CHA,W,240,115,39,83,.470,15,36,.417,22,28,.786,3,36,39,23,7,7,8,22,4
BKN,1/10/18,BKN vs. DET,L,240,80,27,74,.365,12,37,.324,14,15,.933,2,33,35,19,11,2,17,11,-34
HOU,1/10/18,HOU vs. POR,W,240,121,45,100,.450,12,38,.316,19,25,.760,17,32,49,25,7,5,13,30,9
NOP,1/10/18,NOP @ MEM,L,240,102,34,77,.442,11,35,.314,23,34,.676,9,31,40,20,5,7,12,26,-3
UTA,1/10/18,UTA @ WAS,W,240,107,43,92,.467,11,33,.333,10,13,.769,11,28,39,23,15,3,12,17,3
IND,1/10/18,IND vs. MIA,L,240,106,43,87,.494,1,18,.056,19,29,.655,12,33,45,13,7,3,14,23,-8
CHA,1/10/18,CHA vs. DAL,L,240,111,43,84,.512,10,26,.385,15,30,.500,4,39,43,16,6,5,11,22,-4
LAC,1/10/18,LAC @ GSW,W,240,125,46,94,.489,11,24,.458,22,28,.786,11,35,46,24,9,3,14,19,19
MEM,1/10/18,MEM vs. NOP,W,240,105,37,88,.420,5,19,.263,26,32,.813,14,36,50,21,7,5,9,26,3
CHI,1/10/18,CHI @ NYK,W,290,122,45,98,.459,15,33,.455,17,20,.850,10,38,48,21,10,5,16,19,3
MIA,1/10/18,MIA @ IND,W,240,114,43,81,.531,13,30,.433,15,21,.714,6,31,37,25,6,6,15,25,8
POR,1/10/18,POR @ HOU,L,240,112,40,83,.482,9,26,.346,23,32,.719,6,34,40,21,5,6,12,26,-9
OKC,1/10/18,OKC @ MIN,L,240,88,32,80,.400,6,25,.240,18,24,.750,10,31,41,13,9,2,18,22,-16
MIN,1/10/18,MIN vs. OKC,W,240,104,39,80,.488,7,20,.350,19,27,.704,11,34,45,22,11,5,14,22,16
ATL,1/10/18,ATL @ DEN,W,240,110,40,80,.500,12,27,.444,18,18,1.000,6,38,44,25,6,4,16,23,13
MIL,1/10/18,MIL vs. ORL,W,240,110,45,82,.549,4,19,.211,16,25,.640,11,36,47,20,4,9,14,21,7
TOR,1/11/18,TOR vs. CLE,W,240,133,53,106,.500,18,42,.429,9,13,.692,18,45,63,31,3,7,9,25,34
LAL,1/11/18,LAL vs. SAS,W,240,93,36,87,.414,13,38,.342,8,14,.571,12,35,47,22,15,4,15,17,12
LAC,1/11/18,LAC @ SAC,W,240,121,43,84,.512,13,31,.419,22,30,.733,8,31,39,28,9,5,17,19,6
SAS,1/11/18,SAS @ LAL,L,240,81,31,76,.408,8,20,.400,11,15,.733,7,38,45,21,6,5,20,15,-12
SAC,1/11/18,SAC vs. LAC,L,240,115,42,85,.494,8,26,.308,23,28,.821,10,34,44,23,9,3,15,25,-6
PHI,1/11/18,PHI vs. BOS,L,240,103,38,82,.463,11,28,.393,16,18,.889,3,34,37,20,12,4,19,19,-11
CLE,1/11/18,CLE @ TOR,L,240,99,34,89,.382,6,26,.231,25,30,.833,9,26,35,18,3,4,9,16,-34
BOS,1/11/18,BOS @ PHI,W,240,114,43,89,.483,13,35,.371,15,19,.789,11,35,46,24,11,2,18,18,11
HOU,1/12/18,HOU @ PHX,W,240,112,39,94,.415,15,47,.319,19,22,.864,14,39,53,18,11,4,11,14,17
NOP,1/12/18,NOP vs. POR,W,240,119,45,82,.549,7,19,.368,22,23,.957,9,34,43,26,7,6,18,16,6
BKN,1/12/18,BKN @ ATL,W,240,110,40,87,.460,13,34,.382,17,26,.654,13,30,43,29,8,1,14,24,5
ATL,1/12/18,ATL vs. BKN,L,240,105,37,80,.463,11,28,.393,20,26,.769,8,38,46,21,6,3,18,25,-5
GSW,1/12/18,GSW @ MIL,W,240,108,44,79,.557,5,15,.333,15,18,.833,10,33,43,28,7,3,11,13,14
MIN,1/12/18,MIN vs. NYK,W,240,118,49,95,.516,10,27,.370,10,16,.625,16,27,43,33,12,4,12,12,10
DEN,1/12/18,DEN vs. MEM,W,240,87,27,70,.386,7,22,.318,26,32,.813,12,35,47,15,8,3,14,18,9
CLE,1/12/18,CLE @ IND,L,240,95,37,85,.435,7,34,.206,14,19,.737,9,37,46,19,12,5,11,15,-2
MIL,1/12/18,MIL vs. GSW,L,240,94,36,85,.424,11,28,.393,11,12,.917,8,25,33,21,9,6,12,20,-14
POR,1/12/18,POR @ NOP,L,240,113,45,101,.446,12,42,.286,11,14,.786,14,25,39,24,13,6,11,22,-6
MEM,1/12/18,MEM @ DEN,L,240,78,30,77,.390,7,24,.292,11,14,.786,8,28,36,17,8,5,14,28,-9
PHX,1/12/18,PHX vs. HOU,L,240,95,37,80,.463,14,33,.424,7,9,.778,4,34,38,27,5,3,19,19,-17
CHA,1/12/18,CHA vs. UTA,W,240,99,32,78,.410,9,27,.333,26,34,.765,8,38,46,17,8,2,12,19,11
NYK,1/12/18,NYK @ MIN,L,240,108,45,83,.542,12,24,.500,6,9,.667,9,27,36,25,6,6,16,17,-10
ORL,1/12/18,ORL @ WAS,L,240,119,41,80,.513,12,29,.414,25,31,.806,12,28,40,32,7,3,15,21,-6
IND,1/12/18,IND vs. CLE,W,240,97,39,85,.459,10,21,.476,9,12,.750,6,38,44,16,5,4,14,18,2
WAS,1/12/18,WAS vs. ORL,W,240,125,54,95,.568,4,16,.250,13,19,.684,14,27,41,26,9,6,11,22,6
UTA,1/12/18,UTA @ CHA,L,240,88,28,77,.364,12,35,.343,20,23,.870,8,37,45,19,5,8,14,26,-11
DAL,1/13/18,DAL vs. LAL,L,265,101,34,90,.378,11,43,.256,22,28,.786,4,35,39,20,5,1,8,17,-6
OKC,1/13/18,OKC @ CHA,W,240,101,39,97,.402,8,26,.308,15,20,.750,19,38,57,17,8,9,9,22,10
SAS,1/13/18,SAS vs. DEN,W,240,112,41,79,.519,14,27,.519,16,18,.889,6,37,43,23,9,3,15,17,32
LAL,1/13/18,LAL @ DAL,W,265,107,43,95,.453,8,26,.308,13,18,.722,11,48,59,24,4,0,14,31,6
SAC,1/13/18,SAC @ LAC,L,240,105,43,85,.506,6,17,.353,13,22,.591,10,27,37,26,12,4,16,24,-21
BKN,1/13/18,BKN @ WAS,L,265,113,42,99,.424,12,43,.279,17,20,.850,13,34,47,28,6,3,15,22,-6
LAC,1/13/18,LAC vs. SAC,W,240,126,46,82,.561,12,31,.387,22,26,.846,5,34,39,29,11,5,15,22,21
WAS,1/13/18,WAS vs. BKN,W,265,119,46,93,.495,10,23,.435,17,23,.739,6,41,47,31,10,3,15,19,6
CHA,1/13/18,CHA vs. OKC,L,240,91,33,83,.398,9,28,.321,16,23,.696,9,41,50,16,3,7,14,15,-10
GSW,1/13/18,GSW @ TOR,W,240,127,47,81,.580,9,24,.375,24,28,.857,3,27,30,28,4,3,6,20,2
DET,1/13/18,DET @ CHI,L,240,105,41,92,.446,12,29,.414,11,14,.786,13,32,45,28,8,7,12,11,-2
TOR,1/13/18,TOR vs. GSW,L,240,125,45,93,.484,8,25,.320,27,32,.844,14,30,44,22,3,2,10,23,-2
DEN,1/13/18,DEN @ SAS,L,240,80,29,83,.349,7,28,.250,15,17,.882,11,30,41,18,9,4,15,16,-32
CHI,1/13/18,CHI vs. DET,W,240,107,42,87,.483,17,36,.472,6,9,.667,6,34,40,27,10,8,14,11,2
NOP,1/14/18,NOP @ NYK,W,265,123,45,95,.474,9,32,.281,24,34,.706,12,34,46,19,17,7,19,17,5
MIA,1/14/18,MIA vs. MIL,W,240,97,35,76,.461,11,29,.379,16,20,.800,3,46,49,23,8,8,13,18,18
POR,1/14/18,POR @ MIN,L,240,103,39,79,.494,11,25,.440,14,17,.824,8,30,38,19,6,3,17,27,-17
MIL,1/14/18,MIL @ MIA,L,240,79,25,79,.316,4,28,.143,25,27,.926,8,32,40,9,8,1,15,23,-18
PHX,1/14/18,PHX vs. IND,L,240,97,35,85,.412,9,37,.243,18,24,.750,14,31,45,20,2,1,12,16,-23
IND,1/14/18,IND @ PHX,W,240,120,48,88,.545,11,23,.478,13,14,.929,8,34,42,20,9,1,6,22,23
NYK,1/14/18,NYK vs. NOP,L,265,118,46,97,.474,12,34,.353,14,18,.778,10,34,44,28,12,7,22,27,-5
MIN,1/14/18,MIN vs. POR,W,240,120,43,80,.538,7,19,.368,27,33,.818,7,31,38,21,12,3,11,17,17
OKC,1/15/18,OKC vs. SAC,W,240,95,36,86,.419,9,30,.300,14,29,.483,18,41,59,20,10,6,18,19,7
SAS,1/15/18,SAS @ ATL,L,240,99,37,87,.425,8,22,.364,17,20,.850,8,29,37,24,12,5,9,13,-3
WAS,1/15/18,WAS vs. MIL,L,240,95,32,76,.421,6,21,.286,25,31,.806,11,28,39,19,10,8,23,22,-9
CHA,1/15/18,CHA @ DET,W,240,118,43,84,.512,10,21,.476,22,33,.667,9,40,49,21,9,4,15,11,11
NYK,1/15/18,NYK @ BKN,W,240,119,42,82,.512,9,16,.563,26,37,.703,8,43,51,27,5,10,9,24,15
DET,1/15/18,DET vs. CHA,L,240,107,42,86,.488,15,29,.517,8,11,.727,3,35,38,27,10,5,16,24,-11
TOR,1/15/18,TOR @ PHI,L,240,111,38,95,.400,9,32,.281,26,30,.867,12,32,44,20,8,1,15,31,-6
MEM,1/15/18,MEM vs. LAL,W,240,123,42,82,.512,10,22,.455,29,34,.853,6,42,48,24,8,8,18,26,9
UTA,1/15/18,UTA vs. IND,L,240,94,36,81,.444,9,33,.273,13,17,.765,9,29,38,11,11,7,13,12,-15
CLE,1/15/18,CLE vs. GSW,L,240,108,43,94,.457,7,28,.250,15,22,.682,12,31,43,26,9,5,15,22,-10
MIL,1/15/18,MIL @ WAS,W,240,104,38,81,.469,8,16,.500,20,29,.690,15,29,44,21,14,6,17,25,9
IND,1/15/18,IND @ UTA,W,240,109,41,77,.532,14,26,.538,13,15,.867,8,35,43,26,7,2,14,18,15
GSW,1/15/18,GSW @ CLE,W,240,118,41,85,.482,12,32,.375,24,30,.800,13,35,48,33,8,6,16,23,10
ATL,1/15/18,ATL vs. SAS,W,240,102,40,86,.465,9,25,.360,13,14,.929,11,39,50,23,8,2,15,23,3
LAC,1/15/18,LAC vs. HOU,W,240,113,44,79,.557,10,25,.400,15,20,.750,4,37,41,30,6,10,18,17,11
BKN,1/15/18,BKN vs. NYK,L,240,104,32,87,.368,11,32,.344,29,36,.806,11,34,45,16,5,3,11,23,-15
CHI,1/15/18,CHI vs. MIA,W,240,119,42,88,.477,16,39,.410,19,22,.864,7,38,45,27,6,2,9,23,8
LAL,1/15/18,LAL @ MEM,L,240,114,38,96,.396,12,35,.343,26,31,.839,12,32,44,25,11,8,13,23,-9
SAC,1/15/18,SAC @ OKC,L,240,88,33,84,.393,7,30,.233,15,25,.600,6,31,37,22,13,0,13,28,-7
HOU,1/15/18,HOU @ LAC,L,240,102,38,94,.404,13,44,.295,13,16,.813,13,24,37,21,9,4,12,21,-11
MIA,1/15/18,MIA @ CHI,L,240,111,40,84,.476,12,36,.333,19,24,.792,4,36,40,35,5,4,14,19,-8
PHI,1/15/18,PHI vs. TOR,W,240,117,40,81,.494,6,25,.240,31,38,.816,10,38,48,22,8,9,21,28,6
DEN,1/16/18,DEN vs. DAL,W,240,105,40,86,.465,8,26,.308,17,26,.654,15,32,47,23,10,3,18,23,3
NOP,1/16/18,NOP @ BOS,W,265,116,45,100,.450,7,27,.259,19,25,.760,13,42,55,28,11,6,15,14,3
DAL,1/16/18,DAL @ DEN,L,240,102,38,78,.487,8,27,.296,18,22,.818,5,30,35,17,10,3,16,24,-3
ORL,1/16/18,ORL vs. MIN,W,240,108,40,90,.444,11,31,.355,17,19,.895,15,36,51,24,4,10,16,15,6
BOS,1/16/18,BOS vs. NOP,L,265,113,40,101,.396,19,50,.380,14,16,.875,12,41,53,27,7,3,18,24,-3
MIN,1/16/18,MIN @ ORL,L,240,102,43,98,.439,7,16,.438,9,10,.900,11,26,37,19,10,9,7,21,-6
PHX,1/16/18,PHX @ POR,L,240,111,37,89,.416,16,41,.390,21,22,.955,12,31,43,21,6,3,13,15,-7
POR,1/16/18,POR vs. PHX,W,240,118,46,91,.505,17,35,.486,9,10,.900,9,34,43,21,7,6,9,16,7
TOR,1/17/18,TOR vs. DET,W,240,96,34,80,.425,11,31,.355,17,23,.739,12,37,49,24,6,8,20,20,5
DEN,1/17/18,DEN @ LAC,L,240,104,42,97,.433,5,25,.200,15,18,.833,20,34,54,23,13,7,19,25,-5
CHI,1/17/18,CHI vs. GSW,L,240,112,45,106,.425,10,39,.256,12,13,.923,14,35,49,24,10,2,11,19,-7
GSW,1/17/18,GSW @ CHI,W,240,119,42,84,.500,13,33,.394,22,25,.880,5,44,49,24,5,3,15,16,7
UTA,1/17/18,UTA @ SAC,W,240,120,46,81,.568,12,29,.414,16,20,.800,6,23,29,26,15,4,10,20,15
ATL,1/17/18,ATL vs. NOP,W,240,94,37,89,.416,10,40,.250,10,13,.769,12,31,43,32,5,3,10,22,1
NYK,1/17/18,NYK @ MEM,L,240,99,35,82,.427,7,27,.259,22,23,.957,12,33,45,22,5,12,14,15,-6
BKN,1/17/18,BKN vs. SAS,L,240,95,35,83,.422,13,36,.361,12,18,.667,6,41,47,23,3,1,14,28,-5
DET,1/17/18,DET @ TOR,L,240,91,37,88,.420,10,28,.357,7,15,.467,11,31,42,22,14,7,14,20,-5
LAL,1/17/18,LAL @ OKC,L,240,90,38,81,.469,10,26,.385,4,4,1.000,6,24,30,25,9,1,16,15,-24
OKC,1/17/18,OKC vs. LAL,W,240,114,46,95,.484,12,35,.343,10,12,.833,21,33,54,22,10,6,16,14,24
MEM,1/17/18,MEM vs. NYK,W,240,105,41,91,.451,10,28,.357,13,17,.765,15,29,44,23,9,3,11,19,6
LAC,1/17/18,LAC vs. DEN,W,240,109,40,87,.460,10,30,.333,19,31,.613,17,31,48,22,10,5,20,16,5
WAS,1/17/18,WAS @ CHA,L,240,109,40,82,.488,13,23,.565,16,23,.696,7,33,40,31,3,7,16,23,-24
NOP,1/17/18,NOP @ ATL,L,240,93,35,80,.438,10,27,.370,13,19,.684,9,34,43,27,5,6,12,20,-1
CHA,1/17/18,CHA vs. WAS,W,240,133,48,98,.490,15,31,.484,22,26,.846,13,36,49,27,10,5,9,18,24
MIA,1/17/18,MIA @ MIL,W,240,106,38,82,.463,10,24,.417,20,27,.741,10,36,46,28,4,7,15,28,5
SAC,1/17/18,SAC vs. UTA,L,240,105,38,72,.528,13,21,.619,16,20,.800,8,28,36,19,9,4,19,21,-15
MIL,1/17/18,MIL vs. MIA,L,240,101,33,76,.434,11,28,.393,24,32,.750,5,33,38,23,6,4,9,25,-5
SAS,1/17/18,SAS @ BKN,W,240,100,34,82,.415,9,19,.474,23,31,.742,7,35,42,24,8,4,9,20,5
BOS,1/18/18,BOS vs. PHI,L,240,80,30,74,.405,7,29,.241,13,17,.765,3,28,31,13,7,5,19,20,-9
CLE,1/18/18,CLE vs. ORL,W,240,104,38,85,.447,10,34,.294,18,27,.667,14,32,46,22,8,4,20,21,1
MIN,1/18/18,MIN @ HOU,L,240,98,38,81,.469,8,24,.333,14,21,.667,8,32,40,24,8,8,11,16,-18
ORL,1/18/18,ORL @ CLE,L,240,103,41,88,.466,5,22,.227,16,21,.762,9,33,42,25,12,6,14,22,-1
IND,1/18/18,IND @ POR,L,240,86,36,91,.396,7,26,.269,7,13,.538,10,36,46,17,4,4,8,16,-14
POR,1/18/18,POR vs. IND,W,240,100,37,94,.394,10,32,.313,16,16,1.000,14,43,57,17,6,7,11,11,14
PHI,1/18/18,PHI @ BOS,W,240,89,34,73,.466,6,17,.353,15,17,.882,8,33,41,18,10,5,22,20,9
HOU,1/18/18,HOU vs. MIN,W,240,116,42,88,.477,17,39,.436,15,17,.882,11,34,45,24,11,5,9,15,18
WAS,1/19/18,WAS @ DET,W,240,122,41,82,.500,16,35,.457,24,27,.889,8,26,34,28,10,4,13,20,10
PHX,1/19/18,PHX @ DEN,W,240,108,40,81,.494,14,33,.424,14,20,.700,4,33,37,28,9,6,11,21,8
SAS,1/19/18,SAS @ TOR,L,240,83,31,91,.341,5,20,.250,16,20,.800,17,39,56,18,9,7,12,13,-3
UTA,1/19/18,UTA vs. NYK,L,240,115,42,91,.462,11,31,.355,20,30,.667,15,37,52,19,4,6,17,20,-2
MEM,1/19/18,MEM vs. SAC,W,240,106,39,88,.443,10,34,.294,18,23,.783,14,35,49,24,12,5,13,17,18
NYK,1/19/18,NYK @ UTA,W,240,117,44,89,.494,11,20,.550,18,23,.783,7,29,36,23,6,6,12,26,2
IND,1/19/18,IND @ LAL,L,240,86,37,97,.381,2,25,.080,10,13,.769,12,32,44,15,9,4,9,18,-13
DEN,1/19/18,DEN vs. PHX,L,240,100,35,78,.449,14,36,.389,16,21,.762,7,35,42,23,7,5,16,20,-8
BKN,1/19/18,BKN vs. MIA,W,240,101,36,76,.474,9,32,.281,20,26,.769,10,34,44,20,5,8,14,18,6
LAL,1/19/18,LAL vs. IND,W,240,99,44,80,.550,9,28,.321,2,14,.143,6,41,47,26,7,6,14,17,13
MIA,1/19/18,MIA @ BKN,L,240,95,35,84,.417,7,22,.318,18,25,.720,12,31,43,22,7,7,11,22,-6
SAC,1/19/18,SAC @ MEM,L,240,88,32,80,.400,11,27,.407,13,18,.722,11,33,44,18,10,3,21,20,-18
TOR,1/19/18,TOR vs. SAS,W,240,86,34,85,.400,9,26,.346,9,14,.643,9,41,50,16,8,1,13,19,3
DET,1/19/18,DET vs. WAS,L,240,112,40,80,.500,10,30,.333,22,26,.846,7,28,35,25,8,3,14,22,-10
PHI,1/20/18,PHI vs. MIL,W,240,116,45,85,.529,10,25,.400,16,19,.842,11,34,45,32,9,4,16,18,22
ATL,1/20/18,ATL vs. CHI,L,240,97,35,92,.380,11,48,.229,16,23,.696,9,36,45,27,5,4,13,21,-16
OKC,1/20/18,OKC @ CLE,W,240,148,58,100,.580,14,30,.467,18,28,.643,16,36,52,37,9,2,13,23,24
NOP,1/20/18,NOP vs. MEM,W,240,111,39,78,.500,7,27,.259,26,32,.813,6,35,41,23,6,5,10,15,7
MIL,1/20/18,MIL @ PHI,L,240,94,33,82,.402,10,32,.313,18,22,.818,8,27,35,20,10,3,17,20,-22
MIN,1/20/18,MIN vs. TOR,W,240,115,38,81,.469,7,16,.438,32,42,.762,15,29,44,21,4,3,11,20,6
LAC,1/20/18,LAC @ UTA,L,240,113,36,82,.439,11,36,.306,30,38,.789,7,27,34,18,17,2,14,24,-12
HOU,1/20/18,HOU vs. GSW,W,240,116,41,87,.471,14,37,.378,20,29,.690,12,34,46,19,14,3,15,18,8
CHI,1/20/18,CHI @ ATL,W,240,113,40,80,.500,14,32,.438,19,21,.905,4,44,48,31,8,1,16,23,16
CLE,1/20/18,CLE vs. OKC,L,240,124,46,89,.517,10,37,.270,22,27,.815,3,25,28,32,7,4,15,18,-24
GSW,1/20/18,GSW @ HOU,L,240,108,40,82,.488,17,36,.472,11,15,.733,4,29,33,31,8,10,19,24,-8
DAL,1/20/18,DAL @ POR,L,240,108,38,83,.458,10,25,.400,22,28,.786,11,26,37,19,9,5,9,21,-9
UTA,1/20/18,UTA vs. LAC,W,240,125,45,82,.549,11,28,.393,24,32,.750,11,45,56,21,9,3,20,29,12
CHA,1/20/18,CHA vs. MIA,L,240,105,41,90,.456,7,27,.259,16,21,.762,8,35,43,22,9,8,7,12,-1
MIA,1/20/18,MIA @ CHA,W,240,106,43,87,.494,13,28,.464,7,12,.583,8,39,47,28,5,6,14,17,1
POR,1/20/18,POR vs. DAL,W,240,117,45,86,.523,18,36,.500,9,10,.900,9,31,40,19,3,3,14,23,9
TOR,1/20/18,TOR @ MIN,L,240,109,39,83,.470,12,33,.364,19,21,.905,8,27,35,23,7,7,13,30,-6
MEM,1/20/18,MEM @ NOP,L,240,104,37,82,.451,15,35,.429,15,16,.938,10,34,44,22,2,1,14,29,-7
DET,1/21/18,DET vs. BKN,L,240,100,38,90,.422,9,29,.310,15,17,.882,7,36,43,21,3,4,6,19,-1
IND,1/21/18,IND @ SAS,W,240,94,37,84,.440,4,19,.211,16,17,.941,7,34,41,14,14,1,10,15,8
BKN,1/21/18,BKN @ DET,W,240,101,37,80,.463,13,31,.419,14,20,.700,7,39,46,23,1,3,15,18,1
SAS,1/21/18,SAS vs. IND,L,240,86,35,82,.427,9,34,.265,7,12,.583,10,36,46,24,8,10,20,14,-8
BOS,1/21/18,BOS vs. ORL,L,240,95,37,85,.435,8,27,.296,13,14,.929,11,33,44,22,6,9,15,18,-8
ORL,1/21/18,ORL @ BOS,W,240,103,43,92,.467,6,21,.286,11,16,.688,13,31,44,20,7,9,10,19,8
LAL,1/21/18,LAL vs. NYK,W,240,127,51,91,.560,10,26,.385,15,21,.714,12,27,39,31,10,3,6,18,20
NYK,1/21/18,NYK @ LAL,L,240,107,44,81,.543,12,25,.480,7,10,.700,7,26,33,32,3,5,17,20,-20
DAL,1/22/18,DAL vs. WAS,W,240,98,38,87,.437,10,31,.323,12,17,.706,9,43,52,20,9,9,11,21,23
PHI,1/22/18,PHI @ MEM,L,240,101,32,71,.451,14,31,.452,23,31,.742,16,32,48,21,2,4,23,28,-4
CHA,1/22/18,CHA vs. SAC,W,240,112,38,86,.442,16,40,.400,20,25,.800,11,37,48,22,4,10,15,14,5
MEM,1/22/18,MEM vs. PHI,W,240,105,33,78,.423,10,26,.385,29,35,.829,11,21,32,14,14,2,12,26,4
WAS,1/22/18,WAS @ DAL,L,240,75,26,86,.302,7,32,.219,16,27,.593,17,30,47,15,7,5,12,18,-23
POR,1/22/18,POR @ DEN,L,240,101,36,85,.424,8,25,.320,21,26,.808,11,33,44,19,11,6,11,22,-3
NOP,1/22/18,NOP vs. CHI,W,290,132,47,113,.416,16,44,.364,22,26,.846,15,40,55,32,14,3,13,28,4
SAC,1/22/18,SAC @ CHA,L,240,107,43,97,.443,10,22,.455,11,15,.733,10,32,42,27,8,3,7,22,-5
ATL,1/22/18,ATL vs. UTA,W,240,104,40,83,.482,12,26,.462,12,12,1.000,10,34,44,24,8,5,17,24,14
HOU,1/22/18,HOU vs. MIA,W,240,99,36,81,.444,15,37,.405,12,18,.667,8,30,38,20,10,3,14,15,9
MIN,1/22/18,MIN @ LAC,W,240,126,43,91,.473,7,22,.318,33,39,.846,18,29,47,20,5,4,13,22,8
LAC,1/22/18,LAC vs. MIN,L,240,118,47,84,.560,9,27,.333,15,22,.682,8,32,40,31,4,1,17,27,-8
MIA,1/22/18,MIA @ HOU,L,240,90,39,82,.476,7,30,.233,5,9,.556,9,33,42,18,7,4,16,18,-9
DEN,1/22/18,DEN vs. POR,W,240,104,34,83,.410,10,30,.333,26,33,.788,14,35,49,23,7,8,15,20,3
MIL,1/22/18,MIL vs. PHX,W,240,109,38,71,.535,5,17,.294,28,37,.757,8,24,32,20,14,5,17,22,4
UTA,1/22/18,UTA @ ATL,L,240,90,33,76,.434,4,15,.267,20,28,.714,7,32,39,20,8,6,16,15,-14
PHX,1/22/18,PHX @ MIL,L,240,105,39,79,.494,9,26,.346,18,20,.900,9,25,34,31,12,2,21,26,-4
CHI,1/22/18,CHI @ NOP,L,290,128,45,92,.489,8,31,.258,30,34,.882,6,48,54,31,8,6,24,32,-4
NYK,1/23/18,NYK @ GSW,L,240,112,43,83,.518,9,22,.409,17,19,.895,6,32,38,28,4,0,13,20,-11
BOS,1/23/18,BOS @ LAL,L,240,107,42,90,.467,15,44,.341,8,10,.800,7,35,42,22,3,5,11,25,-1
OKC,1/23/18,OKC vs. BKN,W,240,109,40,94,.426,7,25,.280,22,32,.688,16,34,50,12,7,4,4,18,1
SAC,1/23/18,SAC @ ORL,W,240,105,43,87,.494,8,26,.308,11,13,.846,11,33,44,24,9,11,14,15,6
BKN,1/23/18,BKN @ OKC,L,240,108,37,79,.468,16,38,.421,18,25,.720,8,37,45,27,1,5,12,25,-1
LAL,1/23/18,LAL vs. BOS,W,240,108,40,91,.440,7,26,.269,21,36,.583,14,37,51,18,6,2,10,16,1
GSW,1/23/18,GSW vs. NYK,W,240,123,46,83,.554,13,30,.433,18,20,.900,3,33,36,40,6,3,12,16,11
SAS,1/23/18,SAS vs. CLE,W,240,114,47,94,.500,8,28,.286,12,16,.750,13,32,45,23,11,4,9,19,12
CLE,1/23/18,CLE @ SAS,L,240,102,35,72,.486,6,21,.286,26,31,.839,6,35,41,19,6,3,18,14,-12
ORL,1/23/18,ORL vs. SAC,L,240,99,36,83,.434,11,31,.355,16,19,.842,11,29,40,23,9,4,17,17,-6
LAC,1/24/18,LAC vs. BOS,L,240,102,35,79,.443,5,21,.238,27,39,.692,10,30,40,26,6,5,19,15,-11
SAS,1/24/18,SAS @ MEM,W,240,108,38,82,.463,10,24,.417,22,25,.880,11,34,45,29,9,6,13,19,23
MEM,1/24/18,MEM vs. SAS,L,240,85,36,83,.434,2,18,.111,11,14,.786,9,32,41,19,7,4,17,25,-23
POR,1/24/18,POR vs. MIN,W,240,123,45,82,.549,17,31,.548,16,21,.762,6,31,37,24,4,1,10,16,9
BOS,1/24/18,BOS @ LAC,W,240,113,39,93,.419,14,40,.350,21,22,.955,10,37,47,25,10,3,13,28,11
PHI,1/24/18,PHI vs. CHI,W,240,115,42,81,.519,16,32,.500,15,20,.750,6,42,48,31,6,7,14,20,14
MIN,1/24/18,MIN @ POR,L,240,114,45,84,.536,6,16,.375,18,22,.818,5,28,33,20,7,2,6,14,-9
CHI,1/24/18,CHI @ PHI,L,240,101,36,94,.383,11,37,.297,18,22,.818,10,33,43,20,8,2,11,15,-14
UTA,1/24/18,UTA @ DET,W,265,98,38,96,.396,10,31,.323,12,16,.750,9,35,44,24,11,9,14,15,3
IND,1/24/18,IND vs. PHX,W,240,116,45,80,.563,9,24,.375,17,25,.680,3,36,39,32,11,3,12,24,15
HOU,1/24/18,HOU @ DAL,W,240,104,36,82,.439,21,51,.412,11,23,.478,7,36,43,20,8,3,9,19,7
DAL,1/24/18,DAL vs. HOU,L,240,97,35,82,.427,15,35,.429,12,18,.667,9,40,49,24,5,2,13,21,-7
CHA,1/24/18,CHA vs. NOP,L,240,96,36,85,.424,6,21,.286,18,31,.581,10,39,49,16,5,6,14,23,-5
TOR,1/24/18,TOR @ ATL,W,240,108,39,89,.438,14,36,.389,16,25,.640,12,40,52,25,10,12,17,22,15
ATL,1/24/18,ATL vs. TOR,L,240,93,37,94,.394,7,21,.333,12,17,.706,12,35,47,19,8,9,16,21,-15
DET,1/24/18,DET vs. UTA,L,265,95,38,97,.392,7,31,.226,12,18,.667,15,42,57,23,10,7,19,16,-3
NOP,1/24/18,NOP @ CHA,W,240,101,39,87,.448,9,26,.346,14,18,.778,8,34,42,26,6,10,15,19,5
PHX,1/24/18,PHX @ IND,L,240,101,35,84,.417,9,35,.257,22,29,.759,10,32,42,22,3,2,16,26,-15
OKC,1/25/18,OKC vs. WAS,W,240,121,45,87,.517,9,27,.333,22,29,.759,13,27,40,18,16,6,14,15,9
GSW,1/25/18,GSW vs. MIN,W,240,126,48,89,.539,21,37,.568,9,15,.600,11,36,47,37,9,8,15,17,13
